MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
1142|traditional, conventional|Ana|||||
1143|tranquil, calm, quiet, peaceful|Ana|||||
1144|tremendous, immense, enormous|Ana|||||
1145|extreme|Ana|||||
1146|unemployed, without an occupation|Ana|||||
1147|unexpected, surprising|Ana|||||
1148|unhealthy|Ana||||joubu|yowai, hiyowai, hiyowa, yowacchii
1149|poor health, ill health|N;Abs|||||
1150|unjust, unequal, improper, fraudulent|Ana|||||
1151|injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud|N;Abs|||||
1152|unfriendly|Ana||||shinsetsu|yasashii
1153|unkindness, unfriendliness|N;Abs|||||
1154|unlucky, unfortunate|Ana|||||
1155|bad luck, misfortune, fate|N;Abs|||||
1156|uncomfortable|Ana|||||
1157|displeasure, discomfort, unpleasantness|N;Abs|||||
1158|indisposed, ailing|Ana|||||
1159|no way, not a chance, never, dream on|CE|Colloquialism||||
1160|unreasonable, irrational, outrageous, absurd|Ana|||||
1161|unrelated|Ana|||||
1162|unskilled|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||jouzu|
1163|lack of skill, awkwardness, poor skill|N;Abs|||||
1164|unsuitable, inappropriate, improper|Ana||||tekitou|
1165|hack|Ana|||||
1166|quack (fake or untrained doctor)|N;Pe|||||
1167|urgent, pressing|Ana|||||
1168|rapid, swift, fast|Ana|||||
1169|very disliked (to dislike very much), hated|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||suki, daisuki|kirai
1170|very liked (to like very much), loved|Ana|Verb-based, linked to object by "ga" when used with desu verb.|||kirai, daikirai|suki
1171|weak (organization)|Ana|||||
1172|weak, delicate, sickly|Ana||||tsuyoi, joubu|yowai, hiyowai, yowacchii, yurui, usui, yawai, nayocchii, kasuka, hijaku, yawa
1173|wicked, evil, profligate, immoral|Ana|||||
1174|wise, intelligent, prudent|Ana|||||
1175|wisdom, intelligence, prudence|N;Abs|||||
1176|worried, concerned, anxious|Ana|||||
1177|caring, helpful, assistive|Ana|||||
1178|zealous, enthusiastic|Ana|||||
1179|enthusiasm, zeal|N;Abs|||||
1180|at the beginning (of an event)|A;T|||685||mazu
1181|first action, initial action|A;T|||684||
1182|first of all|A;T|||||hajime wa
1183|first (of all), to start with, about, almost, anyway, well, now|A|||||
1184|hardly (with neg. verb)|A|||||
1185|first of all, to start with, to begin with, originally|A;T|||||
1186|firstly|A;T|||||
1187|next, following, subsequent|A;T|||657;658|saki|
1188|in front|A;T||||tsugi|
1189|before|Sx|e.g. renrakusaki (before making a reservation)||||
1190|top, summit|N;Pl||||shita|
1191|above, up, over, elder (e.g. daughter)|N;Abs||||shita|
1192|surface, on|N;Abs|||||
1193|superiority, one's superior (i.e. one's elder)|N;Abs|||||
1194|matters concerning..., as concerns ...|N;Abs|||||
1195|since (i.e. "for that reason")|N;Abs|||||
1196|suffix indicating higher social standing|Sx|||||
1197|place of one's superior (i.e. the throne)|Sx|||||
1198|anywhere|A;loc|||740||
1199|back, behind, rear|A;loc||||mae|
1200|back|N;Pl||||mae, temae|
1201|bottom|N;Pl||||ue|
1202|below, down, under, younger (e.g. daughter)|N;Abs||Also used with "no".|655|ue|
1203|everywhere|A;loc||Always followed by affirmative verb.|||
1204|nowhere|A;loc||Always followed by negative verb.|739||
1205|from afar, over a great distance, all the way|A;loc|||||
1206|here (place physically close to the speaker, place pointed by the speaker while explaining), this place|A;loc|ME#0025;0026||||
1207|in front (of), before (e.g. the house)|A;loc||||ushiro|
1208|before, previously, ago|A;T|||667||
1209|head (of a line), front (e.g. of a bus), fore part|N;Pl||||ushiro|temae
1210|ago, before (some event), previously, (minutes) to (the hour)|A;T|||||
1211|in the presence of|A|||||
1212|inside, in|A;loc||||soko|
1213|inside, center|N;Pl|||||
1214|neighbor (neighbour), next to (esp. living next door to)|A;loc|||656||
1215|neighbor (neighbour)|N;Pe|||||
1216|nowhere|A;loc||Always followed by negative verb.|739||
1217|opposite side|A;loc|||||
1218|outside, exterior|A;loc||||naka|
1219|outside, exterior|N;Pl||||uchi, inai|
1220|open air|N;Abs|||||
1221|To|N;Pl|||||
1222|open air|N;Abs|||||
1223|there (place physically distant from both speaker and listener), over there, that place, yonder, you-know-where|A;loc|ME#0029;0030||||
1224|somewhere, anywhere|A;loc|||738||
1225|there (place relatively near listener)|A;loc|ME#0027;0028||||
1226|you|P|Archaic||||
1227|a few times|A;T|||||
1228|a long time ago|A;T|||||
1229|abruptly, suddenly, unexpectedly, all at once|A;T|||||kyuu ni, tozzen
1230|after a long time|A;T|||1411||
1231|after this, from now on, hereafter|A;T|||||
1232|thereafter, since (then), after|UNC|||||
1233|again, and, also, still (doing something)|A;T|||668||
1234|all day|A;T|||||
1235|all day and night|A;T|||||
1236|all day long, all the day, throughout the day|A;T|||||
1237|all night long|A;T|||||
1238|all night long|A;T|||1303||
1239|all year round|A;T|||||
1240|all year, year round|A;T|||||
1241|already, a while ago|A;T|||||
1242|already, too late|A;T|||||
1243|always, constantly, frequently, often|A;T|||||
1244|always, usually, every time|A;T||Always followed by affirmative verb.|443;1263;1358||
1245|never|A;T||Always followed by negative verb.|||
1246|any day|A;T|||745||
1247|around a specific point in time|A;T|||671||
1248|at once, immediately, directly, in person, automatically|A;T|||||
1249|barely, narrowly, hardly, only just|A;T|||||
1250|finally, at last|A;T|||||
1251|gradually, little by little, by degrees|A;T|||||
1252|before the week is out, before the week is over, within the week, sometime this week|A;T|||||
1253|beforehand|A;T|||||
1254|far off|A;T|||||
1255|much, by far|A;T|||673||
1256|straight, direct|A;T|||||
1257|day after tomorrow|A;T|||288||
1258|the day after tomorrow|N;T|||||
1259|early|A;T|Usually means "early-ish", a bit less early than hayaku.||||
1260|every day|A;T|||748||
1261|every day, daily|A;T|||||
1262|every evening, every night|A;T|||750;1410||
1263|every hour, hourly|A;T|||||
1264|every month|A;T|||758||
1265|every morning|A;T|||749||
1266|every week|A;T|||755||
1267|every year, yearly, annually|A;T|||763||
1268|finally, at last, in the end|A;T|||||
1269|first time (doing something)|A;T|||683||
1270|for a long time|A;T|||||
1271|for some years|A;T|||||
1272|from now on|A;T|||||
1273|immediately, at once, directly, shortly, soon, right away, promptly|A;T|||686||chikaku, sassoku
1274|directly, shortly, soon, right away|A;T|||687||sugu ni, chikaku
1275|in the end|A;T|||||
1276|just about to, on the verge of|A;T|||||
1277|just then|A;T|||||
1278|just when one is…|A;T|||||
1279|last month|A;T|||756||
1280|last week, the week before|A;T|||752||
1281|last year|A;T|||759||
1282|later on, eventually, afterwards|A;T|More formal version of "ato de".||||ato de
1283|long ago, a long time ago, already|A;T|||||
1284|many times over, often|A;T|||||
1285|never, by no means, not in the least, in no way|A;T|Used in a negative phrase.||||
1286|next month|A;T|||758||
1287|next week|A;T|||754||
1288|next year|A;T|||761||
1289|as yet, hitherto, only, still|A|ME#0031;0032|||mou|
1290|now, the present time, just now, soon, immediately, (one) more|A;T|||664||
1291|at this late hour (i.e. too late for something)|A;T|||||
1292|now, at this time, lately|A;T|||||
1293|on any date|A;T|||||
1294|on some date|A;T|||||
1295|one time|A;T|||||
1296|quick|A;T|Usually means "quick-ish", a bit less quick than hayaku.||||
1297|quickly|A;T|Used colloquially.||||
1298|steadily in time, one after another, all at once|A;T|||||one after the other
1299|drumming noise|OI|||||
1300|recently, nowadays, these days, now, at present|A;T|||||saikin
1301|recently, lately, these days, nowadays, right now|A;T|||678||kono goro
1302|shortly, soon|A;T|||||sugu ni, sassoku
1303|neighborhood, neighbourhood, vicinity, near|N;Pl|||||
1304|nearly (e.g. "it took nearly one year"), close to|Sx|||||
1305|since then, after that|A;T|||||
1306|since, henceforth, from then on|A;T|||||
1307|some day|A;T|||||
1308|sometime|A;T|||742||
1309|some hour|A;T|||||
1310|some time ago, not long ago, just now|A;T|||||
1311|from time to time|A;T|||663||
1312|soon, before long, in a short time|A;T|||||
1313|lacking time to ..., without time to ...|A;T|||||
1314|the year after next|A;T|||762||
1315|this month|A;T|||757||
1316|this week|A;T|||753||
1317|this year, this fiscal year, this school year|A;T|||760||
1318|this year, this fiscal year, this school year|A;T|||760||
1319|today, this day|A;T|||929||
1320|tomorrow|A;T|||747;173||
1321|tonight, this evening|A;T|||751;1410||
1322|very seldom, almost never, rarely|A;T|Use in phrase with negative tense only.||679;134||amari, zenzen
1323|very soon, before long, in a moment|A;T|||665;666||
1324|X in addition to, besides Y|A;T||hoka ni X Y, WHERE: X = characteristic, Y = time|||
1325|yesterday|N;T|||||yuube
1326|counter for small animals|C|Used for small animals, insects, fish, reptiles, amphibians, oni (demons/ogres). Usage: (1) ippiki, (2) nihiki, (3) sanbiki, (4) yonhiki, (5) gohiki, (6) roppiki, (7) nanahiki, (8) hachihiki, (9) kyuuhiki, (10) juppiki||||
1327|counter for rolls of cloth (two han in size)|C|||||
1328|counter for horses|C|||||
1329|roll of cloth|N|||||
1330|counter for birds and rabbits|C|||||
1331|counter for books, novels|C|||1143||
1332|volume|N;Abs|||||
1333|counter for boxes (or boxed objects)|C|Use "bako" when necessary.||||
1334|box, train car, receptacle|N;GO|||||
1335|box, case, chest, package, pack, crate|N;Abs|||||
1336|car (of a train, etc.)|N;Abs|||||
1337|shamisen case, shamisen|N;Abs|||||
1338|public building, community building|N;Abs|||||
1339|man who carries a geisha's shamisen|N;Abs|||||
1340|receptacle for human waste, feces (faeces)|N;Abs|||||
1341|counter for buddhas, gods, nobles|C|||||
1342|pillar, post, support, prom, mainstay|N;GO|||||
1343|counter for buildings, houses|C|This counter is usually not used.||||
1344|counter for bus line|C|||||
1345|line, stripe, stria|N;Abs|||||
1346|line (e.g. telephone line), wire|N;Abs|||||
1347|ray (e.g. X-ray), beam|N;Abs|||||
1348|line (e.g. of a railroad), track, route, lane|N;Abs|||||
1349|outline, contours, form|N;Abs|||||
1350|level|N;Abs|||||
1351|division|N;Abs|||||
1352|line (of action), position, approach, policy, principle|N;Abs|||||
1353|impression one leaves, air one gives off|N;Abs|||||
1354|counter for copies of a newspaper or magazine|C|Used for magazines, newspapers or stacks of papers.||||
1355|department (in an organization), division, bureau|N;Abs|||||
1356|club|N;Abs|||||
1357|part, component, element|N;Abs|||||
1358|category|N;Abs|||||
1359|counter for days, -st/nd/rd/th day|C|For counting days, except for ichinichi.||1145||
1360|counter for days, -st/nd/rd/th day (also "of the month")|C|Usage: ichinichi/tsuitachi (1), futsuka (2), mikka (3), yokka (4), itsuka (5), muika (6), nanoka (7), youka (8), kokonoka (9), touka (10), juu yokka (14), hatsuka (20), nijuu yokka (24)||1130;1131||
1361|day of the month|N;T|||||hi
1362|Sunday|N;Abs|||||
1363|day (of the month)|Sx|||||
1364|Japan|N;Abs|||||
1365|Nichi|N;Pl|||||
1366|counter for degrees, times|C|Used for occurrences, number of times, degrees of temperature or angle (see also: kai). Examples: ichido (once), saido (twice), sando (thrice)...||1137;1138||kai, tabi
1367|degree (angle, temperature, scale, etc.)|N;Abs|||||
1368|counter for occurrences|C|||||
1369|strength (of glasses), glasses prescription|N;Abs|||||
1370|alcohol content (percentage), alcohol by volume|N;Abs|||||
1371|extent, degree, limit|N;Abs|||||
1372|presence of mind, composure|N;Abs|||||
1373|counter for desks, chairs, long-stemmed glasses|C|Use "byaku" when necessary.||||
1374|counter for floor, stories|C|||1136||
1375|storey, story, floor|N;Abs|||||
1376|stairs|N;Abs|||||
1377|stage (in chronostratigraphy)|N;Abs|||||
1378|counter for storeys and floors of a building|UNC|||||
1379|counter for food, drink, medicine, etc.|C|||||
1380|counter for full glasses, cups, drinks|C|Used for cups and glasses of drink, spoonsful, cuttlefish, octopuses, crabs, squid, abalone, boats (slang). Usage: (1) ippai, (2) nihai, (3) sanbai, (4) yonhai, (5) gohai, (6) roppai, (7) nanahai, (8) hachihai, (9) kyuuhai, (10) juppai||1142||
1381|counter for goods, items, articles of clothing, works of art, etc.|C|||||
1382|spot, mark, point, dot, score, point|N;Abs|||||
1383|(punctuation) mark (e.g. comma, period, decimal point), dot|N;MSE|||||
1384|point, dot|N;Abs|||||
1385|mark (e.g. in exam), score, points|N;Abs|||||
1386|comma|N;Abs|||||
1387|aspect, matter, respect|N;Abs|||||
1388|dot, spot, point, speck, mark|N|||||
1389|mark (in an exam, etc.), grade, score, points|N|||||
1390|point (in a game), score, goal, run|N|||||
1391|point (in geometry)|N|||||
1392|point, aspect, matter, detail, part, respect, way, viewpoint|N|||||
1393|"dot" stroke (in a Chinese character)|N|||||
1394|counter for points, marks, goals, etc.|C|||||
1395|departure, departing (from ...), departing (at time ...)|N;Ac|||||
1396|departing from, departing at time, sent by, sent at|Sx|||1329||
1397|sending, sent (by ...), sent (at ...)|N;Abs|||||
1398|engine|N;Abs|||||
1399|counter for gunshots, bursts of gas, etc., counter for bullets, bombs, etc., counter for blows (punches)|C|||||
1400|counter for hour-long periods|C|Usage: yojikan (4), shichijikan (7), kujikan (9), juuyojikan (14), nijuuyojikan (24)||1146||
1401|time|N;T|||||toki
1402|hour|N;Abs|||||
1403|counter for house number|C|||||
1404|house number, address|N;Abs|||||
1405|counter for large animals (e.g. head of cattle), counter for insects in a collection, counter for helmets, masks, etc.|C|||||
1406|counter for long narrow objects|C|Used for trees, pencils, bottles, sticks, etc.. (Note tha the counter for book is "satsu", not "hon"). Usage: ippon (1), sanbon (3), roppon (6), happon (8), juppon (10), nanbon (how many)||1121;1122||
1407|book, volume, script|N;GO|||||
1408|this, present|Px|||||
1409|main, head|Px|||||
1410|real, regular|Px|||||
1411|counter for long cylindrical things, counter for films, TV shows, etc., counter for goals, home runs, etc., counter for telephone calls|Sx|||||
1412|counter for machines, incl. vehicles|C|Used for cars, bicycles, machines, mechanical devices, household appliances.||1149||
1413|stand, rack, table, bench, podium, pedestal, platform, stage|N;Abs|||||
1414|support, holder, rack|N;Abs|||||
1415|setting (e.g. in jewellery)|N;Abs|||||
1416|level (e.g. price level), range (e.g. after physical units), period (of time, e.g. a decade of one's life)|N;Abs|||||
1417|elevated area|N;Abs|||||
1418|viewing platform|N;Abs|||||
1419|dish tray|N;Abs|||||
1420|meal|N;Abs|||||
1421|tall building, tower|N;Abs|||||
1422|counter for month-long periods|C|Usage: ikkagetsu/hitotsuki (1), nikagetsu (2), rokkagetsu (6), hachikagetsu/hakkagetsu (8), jikkagetsu/jukkagetsu (10)||1147;1148||
1423|months (period of)|C|||||
1424|counter for multiples|C|Used for multiples, fold as in "twofold". Examples: ippai (1), sanbai (3), roppai (6), happai (8), jubbai (10)||1135||
1425|counter for nights of a stay|C|Usage: ippaku (1), nihaku (2), sampaku (3), yonhaku/yompaku (4), gohaku (5), roppaku (6), nanahaku (7), happaku (8), kyuuhaku (9), juppaku (10)||||
1426|counter for number|C|Used in position, turn, sports matches.||1139;377;1140;1141||
1427|number (in a series)|N;Abs|||||
1428|(one's) turn|N;Abs|||||
1429|watch, guard, lookout|N;Abs|||||
1430|bout, match|N;Abs|||||
1431|counter for hours|C|Usage: yoji (4), shichiji (7), kuji (9). In speech use numbers until 12 only, e.g. yoji (4pm) instead of juu roku ji (16:00).||1128;1129;1329||
1432|hour, moment|N;T|||||
1433|hour, o'clock|Sx|||||
1434|(specified) time, when ..., during ...|Sx|||||
1435|counter for people|C|Usage: hitori (1), futari (2), yonnin (4), shichinin (7), juuyonin (14), nijuuyonin (24)||1134;7;1290;1355||
1436|person|N;Abs|||||
1437|counter for people|C|Used in a polite context.||||
1438|counter for pills, capsules|C|||1284||
1439|counter for seconds|C|||||
1440|second (unit of time)|N;Abs|||||
1441|counter for sheets, thin flat objects|C|Used for paper, tickets, hankerchiefs, sliced things, etc..||1124||
1442|counter for small round objects|C|Used for apples, candy, marbles, etc.. Also used for military units. Examples: ikko (1), rokko (6), hakko (8), jukko (10), nanko (how many)||1123||
1443|counter for articles|C|||||
1444|counter for military units|C|||||
1445|individual|C|||||
1446|counter for sorts of things, number of varieties, categories|C|||||
1447|variety, kind, type, category, species, sort|N;Abs|||||
1448|counter for different sorts of things|UNC|||||
1449|-st/nd/rd/th (number)|C|||||
1450|-st/nd/rd/th month of the year (i.e. Jan…Dec)|C|||||
1451|month|N;T|||||
1452|counter for stories, episodes of TV series, etc.|C|Used for stories, episodes of TV series, etc.||||
1453|after a relatively long time interval (of waiting), after a pause|Sx|||1312;1313||
1454|style, manner|Sx|||||
1455|after (period of time) again (e.g. meeting again after a year), for the first time in (period of time)|Sx|||||
1456|counter for Tatami mats|C|||1370||
1457|counter for thick slices, cuts (e.g. fish, meat)|C|||||
1458|counter for thousands|C|Usage: issen (1), sanzen (3), hassen (8), nanzen (how many)||||
1459|one thousand |N;num|||||
